HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
"70432332","70432207","70814357",0.46,5164.9,452.2,0.15,40971.8,"0",92.293,"6","2","5","7120416830","0","0","0",0.00000000000000,0.00000000000000,-108.189583333334,44.860416666666
"70432332","70432207","70814357",0.46,5164.9,452.2,0.15,40971.8,"0",92.293,"6","2","5","7120416830","1","0","1",0.00208333333398,0.00000000000000,-108.189583333334,44.8625
"70432475","70432207","70814357",5.14,5165.0,217.1,9.43,7721.4,"0",14.498,"5","3","5","7120416820","0","0","0",0.00000000000000,43.45184230102203,-108.191666666667,44.8624999999999
"70432475","70432207","70814357",5.14,5165.0,217.1,9.43,7721.4,"0",14.498,"5","3","5","7120416820","1","0","1",0.00000000000019,43.45184230102203,-108.191666666667,44.8625
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","0","0","0",0.00000000000000,270.00000000000000,-107.995833333334,44.8645833333327
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","1","0","1",0.01458333333331,292.50000000004889,-108.010416666667,44.8645833333327
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","2","0","2",0.02047588984318,292.50000000004889,-108.014583333334,44.8687499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","3","0","3",0.02464255650984,247.50000000014657,-108.01875,44.8687499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","4","0","4",0.03053511301975,270.00000000019543,-108.022916666667,44.8645833333327
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","5","0","5",0.03642766952963,292.50000000004889,-108.027083333334,44.8687499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","6","0","6",0.07809433619630,247.49999999999997,-108.06875,44.8687499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","7","0","7",0.08987944921604,247.49999999999997,-108.077083333334,44.860416666666
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","8","0","8",0.09821278254941,247.49999999995111,-108.085416666667,44.860416666666
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","9","0","9",0.10410533905928,247.49999999995111,-108.089583333334,44.8562499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","10","0","10",0.10827200572595,247.49999999985340,-108.09375,44.8562499999994
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","11","0","11",0.11416456223586,247.49999999985340,-108.097916666667,44.8520833333327
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","12","0","12",0.12249789556917,247.50000000019540,-108.10625,44.8520833333327
"70432795","70433069","70814357",10.95,5173.6,15.1,36.06,36.1,"0",0.080,"1","3","8","7120416840","13","0","13",0.12839045207907,225.00000000039083,-108.110416666667,44.847916666666
"70432924","70432332","70814357",2.50,5165.3,23.4,12.17,112.9,"0",0.236,"2","3","7","7120416840","0","0","0",0.00000000000000,315.00000000000000,-108.172916666667,44.8437499999994
"70432924","70432332","70814357",2.50,5165.3,23.4,12.17,112.9,"0",0.236,"2","3","7","7120416840","1","0","1",0.00589255650988,337.49999999999994,-108.177083333334,44.847916666666
"70432924","70432332","70814357",2.50,5165.3,23.4,12.17,112.9,"0",0.236,"2","3","7","7120416840","2","0","2",0.01005922317653,337.50000000002444,-108.177083333334,44.8520833333327
"70432924","70432332","70814357",2.50,5165.3,23.4,12.17,112.9,"0",0.236,"2","3","7","7120416840","3","0","3",0.02184433619635,292.50000000002444,-108.185416666667,44.860416666666
"70432924","70432332","70814357",2.50,5165.3,23.4,12.17,112.9,"0",0.236,"2","3","7","7120416840","4","0","4",0.02601100286301,270.00000000000000,-108.189583333334,44.860416666666
"70432925","70433069","70814357",2.05,5173.6,8.5,12.18,12.2,"0",0.026,"1","4","8","7120416840","0","0","0",0.00000000000000,270.00000000000000,-108.0875,44.8437499999994
"70432925","70433069","70814357",2.05,5173.6,8.5,12.18,12.2,"0",0.026,"1","4","8","7120416840","1","0","1",0.01875000000000,292.49999999985346,-108.10625,44.8437499999994
"70432925","70433069","70814357",2.05,5173.6,8.5,12.18,12.2,"0",0.026,"1","4","8","7120416840","2","0","2",0.02464255650991,314.99999999970692,-108.110416666667,44.847916666666
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","0","0","0",0.00000000000000,270.00000000000000,-108.110416666667,44.847916666666
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","1","0","1",0.00416666666666,247.49999999995111,-108.114583333334,44.847916666666
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","2","0","2",0.01005922317654,247.49999999995111,-108.11875,44.8437499999994
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","3","0","3",0.01422588984324,247.49999999999997,-108.122916666667,44.8437499999994
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","4","0","4",0.02011844635312,247.49999999999997,-108.127083333334,44.8395833333327
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","5","0","5",0.03261844635310,292.50000000004889,-108.139583333334,44.8395833333327
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","6","0","6",0.03851100286297,292.50000000004889,-108.14375,44.8437499999994
"70433069","70432924","70814357",5.65,5167.8,20.9,7.91,56.1,"0",0.122,"2","3","7","7120416840","7","0","7",0.06767766952967,270.00000000000000,-108.172916666667,44.8437499999994
"70433719","70432332","70814357",4.84,5165.4,451.7,10.50,40858.7,"0",92.076,"6","2","5","7120416990","0","0","0",0.00000000000000,0.00000000000000,-108.18125,44.8187499999994
"70433719","70432332","70814357",4.84,5165.4,451.7,10.50,40858.7,"0",92.076,"6","2","5","7120416990","1","0","1",0.01250000000002,337.49999999990223,-108.18125,44.8312499999994
"70433719","70432332","70814357",4.84,5165.4,451.7,10.50,40858.7,"0",92.076,"6","2","5","7120416990","2","0","2",0.02428511301980,337.49999999990223,-108.189583333334,44.8395833333327
"70433719","70432332","70814357",4.84,5165.4,451.7,10.50,40858.7,"0",92.076,"6","2","5","7120416990","3","0","3",0.04511844635315,0.00000000000000,-108.189583333334,44.860416666666
