HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","0","0","0",0.00000000000000,90.00000000000000,-104.033333333334,41.4729166666661
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","1","0","1",0.00624999999998,112.49999999995114,-104.027083333334,41.4729166666661
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","2","0","2",0.01214255650985,112.49999999995114,-104.022916666667,41.4687499999994
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","3","0","3",0.01630922317650,112.50000000000000,-104.018750000001,41.4687499999994
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","4","0","4",0.02220177968638,112.50000000000000,-104.014583333334,41.4645833333328
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","5","0","5",0.05553511301974,112.50000000019541,-103.981250000001,41.4645833333328
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","6","0","6",0.06142766952965,157.50000000019543,-103.977083333334,41.4604166666661
"70530029","70530850","70814357",5.85,3753.0,11.2,20.43,20.4,"0",0.017,"1","6","8","7121057640","7","0","7",0.06559433619629,180.00000000000000,-103.977083333334,41.4562499999994
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","0","0","0",0.00000000000000,90.00000000000000,-104.033333333334,41.4479166666661
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","1","0","1",0.01458333333329,67.49999999985344,-104.018750000001,41.4479166666661
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","2","0","2",0.02047588984320,22.49999999985344,-104.014583333334,41.4520833333328
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","3","0","3",0.02464255650982,45.00000000000000,-104.014583333334,41.4562499999994
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","4","0","4",0.02880922317653,112.49999999990229,-104.010416666667,41.4562499999994
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","5","0","5",0.03470177968637,112.49999999990229,-104.006250000001,41.4520833333328
"70530286","70530850","70814357",5.85,3752.9,12.6,29.61,29.6,"0",0.025,"1","5","8","7121057640","6","0","6",0.04720177968639,67.50000000014656,-103.993750000001,41.4520833333328
